revision,filepath,startline,endline,cloneid,methodid,globalcloneid,changecount
735,mged/mater.c,311,322,7,570,25,0
735,mged/anal.c,476,490,4,669,8,0
735,mged/anal.c,460,474,5,669,7,0
735,mged/anal.c,444,458,6,669,9,0
735,mged/chgtree.c,124,134,9,700,10,0
735,mged/chgtree.c,112,124,10,700,11,0
735,mged/dir.c,1713,1725,11,725,27,0
735,mged/chgview.c,366,377,12,727,28,0
735,mged/edsol.c,1008,1029,0,1100,2,0
735,mged/edsol.c,981,1003,1,1100,1,0
735,librt/mater.c,63,75,8,1160,26,0
735,librt/timer42.c,50,65,2,1204,5,0
735,librt/timer52brl.c,56,71,3,1205,6,0
91,mged/edsol.c,631,647,0,567,1,0
91,mged/edsol.c,652,667,1,567,2,0
92,mged/edsol.c,631,647,0,567,1,0
92,mged/edsol.c,652,667,1,567,2,0
93,mged/edsol.c,631,647,0,567,1,0
93,mged/edsol.c,652,667,1,567,2,0
94,mged/edsol.c,631,647,0,567,1,0
94,mged/edsol.c,652,667,1,567,2,0
95,mged/edsol.c,631,647,0,567,1,0
95,mged/edsol.c,652,667,1,567,2,0
96,mged/edsol.c,652,667,0,567,2,0
96,mged/edsol.c,631,647,1,567,1,0
97,mged/edsol.c,652,667,0,570,2,0
97,mged/edsol.c,631,647,1,570,1,0
98,mged/edsol.c,652,667,0,573,2,0
98,mged/edsol.c,631,647,1,573,1,0
99,mged/edsol.c,652,667,0,573,2,0
99,mged/edsol.c,631,647,1,573,1,0
100,mged/edsol.c,631,647,0,573,1,0
100,mged/edsol.c,652,667,1,573,2,0
101,mged/edsol.c,652,667,0,573,2,0
101,mged/edsol.c,631,647,1,573,1,0
102,mged/edsol.c,652,667,0,578,2,0
102,mged/edsol.c,631,647,1,578,1,0
103,mged/edsol.c,652,667,0,579,2,0
103,mged/edsol.c,631,647,1,579,1,0
104,mged/edsol.c,652,667,0,578,2,0
104,mged/edsol.c,631,647,1,578,1,0
105,mged/edsol.c,652,667,0,578,2,0
105,mged/edsol.c,631,647,1,578,1,0
106,mged/edsol.c,631,647,0,578,1,0
106,mged/edsol.c,652,667,1,578,2,0
107,mged/edsol.c,631,647,0,578,1,0
107,mged/edsol.c,652,667,1,578,2,0
108,mged/edsol.c,631,647,0,578,1,0
108,mged/edsol.c,652,667,1,578,2,0
109,librt/dir.c,105,114,3,335,3,0
109,mged/dir.c,126,135,2,336,4,0
109,mged/edsol.c,652,667,0,579,2,0
109,mged/edsol.c,631,647,1,579,1,0
110,librt/dir.c,105,114,3,335,3,0
110,mged/dir.c,126,135,2,336,4,0
110,mged/edsol.c,652,667,0,579,2,0
110,mged/edsol.c,631,647,1,579,1,0
111,librt/dir.c,105,114,3,335,3,0
111,mged/dir.c,126,135,2,336,4,0
111,mged/edsol.c,652,667,0,579,2,0
111,mged/edsol.c,631,647,1,579,1,0
112,librt/dir.c,105,114,3,335,3,0
112,mged/dir.c,126,135,2,336,4,0
112,mged/edsol.c,652,667,0,579,2,0
112,mged/edsol.c,631,647,1,579,1,0
113,librt/dir.c,105,114,3,335,3,0
113,mged/dir.c,126,135,2,336,4,0
113,mged/edsol.c,652,667,0,579,2,0
113,mged/edsol.c,631,647,1,579,1,0
114,librt/dir.c,105,114,3,335,3,0
114,mged/dir.c,126,135,2,336,4,0
114,mged/edsol.c,631,647,0,579,1,0
114,mged/edsol.c,652,667,1,579,2,0
115,librt/dir.c,105,114,3,335,3,0
115,mged/dir.c,126,135,2,336,4,0
115,mged/edsol.c,631,647,0,579,1,0
115,mged/edsol.c,652,667,1,579,2,0
116,librt/dir.c,105,114,3,335,3,0
116,mged/dir.c,126,135,2,336,4,0
116,mged/edsol.c,652,667,0,579,2,0
116,mged/edsol.c,631,647,1,579,1,0
117,librt/dir.c,105,114,3,335,3,0
117,mged/dir.c,126,135,2,336,4,0
117,mged/edsol.c,652,667,0,579,2,0
117,mged/edsol.c,631,647,1,579,1,0
118,librt/dir.c,105,114,3,335,3,0
118,mged/dir.c,126,135,2,336,4,0
118,mged/edsol.c,631,647,0,579,1,0
118,mged/edsol.c,652,667,1,579,2,0
119,librt/dir.c,105,114,3,335,3,0
119,mged/dir.c,126,135,2,336,4,0
119,mged/edsol.c,631,647,0,579,1,0
119,mged/edsol.c,652,667,1,579,2,0
120,librt/dir.c,105,114,3,335,3,0
120,mged/dir.c,126,135,2,336,4,0
120,mged/edsol.c,631,647,0,579,1,0
120,mged/edsol.c,652,667,1,579,2,0
121,librt/dir.c,105,114,3,335,3,0
121,mged/dir.c,126,135,2,336,4,0
121,mged/edsol.c,652,667,0,579,2,0
121,mged/edsol.c,631,647,1,579,1,0
122,librt/dir.c,105,114,3,336,3,0
122,mged/dir.c,126,135,2,337,4,0
122,mged/edsol.c,652,667,0,580,2,0
122,mged/edsol.c,631,647,1,580,1,0
123,librt/dir.c,105,114,3,336,3,0
123,mged/dir.c,126,135,2,337,4,0
123,mged/edsol.c,652,667,0,580,2,0
123,mged/edsol.c,631,647,1,580,1,0
124,librt/dir.c,105,114,3,336,3,0
124,mged/dir.c,126,135,2,337,4,0
124,mged/edsol.c,652,667,0,580,2,0
124,mged/edsol.c,631,647,1,580,1,0
125,librt/dir.c,105,114,3,336,3,0
125,mged/dir.c,126,135,2,337,4,0
125,mged/edsol.c,652,667,0,580,2,0
125,mged/edsol.c,631,647,1,580,1,0
126,librt/dir.c,105,114,3,336,3,0
126,mged/dir.c,126,135,2,337,4,0
126,mged/edsol.c,652,667,0,580,2,0
126,mged/edsol.c,631,647,1,580,1,0
127,librt/dir.c,105,114,3,336,3,0
127,mged/dir.c,126,135,2,337,4,0
127,mged/edsol.c,652,667,0,580,2,0
127,mged/edsol.c,631,647,1,580,1,0
128,librt/dir.c,105,114,3,336,3,0
128,mged/dir.c,126,135,2,337,4,0
128,mged/edsol.c,652,667,0,580,2,0
128,mged/edsol.c,631,647,1,580,1,0
129,librt/dir.c,105,114,3,336,3,0
129,mged/dir.c,126,135,2,337,4,0
129,mged/edsol.c,652,667,0,580,2,0
129,mged/edsol.c,631,647,1,580,1,0
130,librt/dir.c,105,114,3,338,3,0
130,mged/dir.c,126,135,2,339,4,0
130,mged/edsol.c,652,667,0,583,2,0
130,mged/edsol.c,631,647,1,583,1,0
131,librt/dir.c,105,114,5,340,3,0
131,mged/dir.c,126,135,4,341,4,0
131,mged/edsol.c,652,667,0,588,2,0
131,mged/edsol.c,631,647,1,588,1,0
131,librt/timer42.c,47,60,2,661,5,0
131,librt/timer52brl.c,55,68,3,662,6,0
132,librt/dir.c,105,114,5,339,3,0
132,mged/dir.c,126,135,4,340,4,0
132,mged/edsol.c,631,647,0,585,1,0
132,mged/edsol.c,652,667,1,585,2,0
132,librt/timer42.c,47,60,2,658,5,0
132,librt/timer52brl.c,55,68,3,659,6,0
133,librt/dir.c,105,114,5,339,3,0
133,mged/dir.c,126,135,4,340,4,0
133,mged/edsol.c,631,647,0,585,1,0
133,mged/edsol.c,652,667,1,585,2,0
133,librt/timer42.c,47,60,2,658,5,0
133,librt/timer52brl.c,55,68,3,659,6,0
134,librt/dir.c,105,114,5,339,3,0
134,mged/dir.c,126,135,4,340,4,0
134,mged/edsol.c,652,667,0,585,2,0
134,mged/edsol.c,631,647,1,585,1,0
134,librt/timer42.c,47,60,2,658,5,0
134,librt/timer52brl.c,55,68,3,659,6,0
135,librt/dir.c,105,114,5,339,3,0
135,mged/dir.c,126,135,4,340,4,0
135,mged/edsol.c,652,667,0,585,2,0
135,mged/edsol.c,631,647,1,585,1,0
135,librt/timer42.c,47,60,2,658,5,0
135,librt/timer52brl.c,55,68,3,659,6,0
136,librt/dir.c,105,114,5,339,3,0
136,mged/dir.c,126,135,4,340,4,0
136,mged/edsol.c,652,667,0,585,2,0
136,mged/edsol.c,631,647,1,585,1,0
136,librt/timer42.c,47,60,2,658,5,0
136,librt/timer52brl.c,55,68,3,659,6,0
137,librt/dir.c,105,114,5,339,3,0
137,mged/dir.c,126,135,4,340,4,0
137,mged/edsol.c,652,667,0,585,2,0
137,mged/edsol.c,631,647,1,585,1,0
137,librt/timer42.c,47,60,2,658,5,0
